model,sweep,sweep_value,acetate,propionate,butyrate,glucose,oxygen,ATPM
Recon3D,acetate,0.5,0.5,1.4,0.8,1.0,100.0,56.31166666666663
Recon3D,acetate,1.0,1.0,1.4,0.8,1.0,100.0,60.31166666666661
Recon3D,acetate,2.0,2.0,1.4,0.8,1.0,100.0,68.31166666666662
Recon3D,acetate,4.0,4.0,1.4,0.8,1.0,100.0,84.31166666666661
Recon3D,acetate,8.0,8.0,1.4,0.8,1.0,100.0,116.31166666666658
Recon3D,acetate,12.0,12.0,1.4,0.8,1.0,100.0,148.31166666666664
Recon3D,propionate,0.0,4.0,0.0,0.8,1.0,100.0,84.31166666666661
Recon3D,propionate,0.7,4.0,0.7,0.8,1.0,100.0,84.31166666666661
Recon3D,propionate,1.4,4.0,1.4,0.8,1.0,100.0,84.31166666666661
Recon3D,propionate,2.8,4.0,2.8,0.8,1.0,100.0,84.31166666666661
Recon3D,propionate,5.0,4.0,5.0,0.8,1.0,100.0,84.31166666666661
Recon3D,butyrate,0.0,4.0,1.4,0.0,1.0,100.0,66.71166666666664
Recon3D,butyrate,0.4,4.0,1.4,0.4,1.0,100.0,75.51166666666666
Recon3D,butyrate,0.8,4.0,1.4,0.8,1.0,100.0,84.31166666666661
Recon3D,butyrate,1.6,4.0,1.4,1.6,1.0,100.0,101.91166666666656
Recon3D,butyrate,3.0,4.0,1.4,3.0,1.0,100.0,132.71166666666662
Recon3D,glucose,0.1,4.0,1.4,0.8,0.1,100.0,55.51166666666662
Recon3D,glucose,0.5,4.0,1.4,0.8,0.5,100.0,68.31166666666662
Recon3D,glucose,1.0,4.0,1.4,0.8,1.0,100.0,84.31166666666661
Recon3D,glucose,2.0,4.0,1.4,0.8,2.0,100.0,116.31166666666664
Recon3D,glucose,5.0,4.0,1.4,0.8,5.0,100.0,212.31166666666664
Recon3D,oxygen,10.0,4.0,1.4,0.8,1.0,10.0,50.3860473773266
Recon3D,oxygen,50.0,4.0,1.4,0.8,1.0,50.0,84.31166666666674
Recon3D,oxygen,100.0,4.0,1.4,0.8,1.0,100.0,84.31166666666644
Recon3D,oxygen,200.0,4.0,1.4,0.8,1.0,200.0,84.31166666666644
Recon3D,ac_but_ratio,0.1,0.48,1.4,4.32,1.0,100.0,133.5916666666663
Recon3D,ac_but_ratio,0.2,0.96,1.4,3.84,1.0,100.0,126.87166666666629
Recon3D,ac_but_ratio,0.3,1.44,1.4,3.36,1.0,100.0,120.15166666666629
Recon3D,ac_but_ratio,0.4,1.92,1.4,2.88,1.0,100.0,113.43166666666633
Recon3D,ac_but_ratio,0.5,2.4,1.4,2.4,1.0,100.0,106.71166666666636
Recon3D,ac_but_ratio,0.6,2.88,1.4,1.92,1.0,100.0,99.99166666666642
Recon3D,ac_but_ratio,0.7,3.36,1.4,1.44,1.0,100.0,93.27166666666639
Recon3D,ac_but_ratio,0.8,3.84,1.4,0.96,1.0,100.0,86.55166666666643
Recon3D,ac_but_ratio,0.9,4.32,1.4,0.48,1.0,100.0,79.83166666666645
Human-GEM,acetate,0.5,0.5,1.4,0.8,1.0,100.0,77.94250000000031
Human-GEM,acetate,1.0,1.0,1.4,0.8,1.0,100.0,82.06750000000056
Human-GEM,acetate,2.0,2.0,1.4,0.8,1.0,100.0,90.31750000000072
Human-GEM,acetate,4.0,4.0,1.4,0.8,1.0,100.0,106.81750000000098
Human-GEM,acetate,8.0,8.0,1.4,0.8,1.0,100.0,139.8175000000013
Human-GEM,acetate,12.0,12.0,1.4,0.8,1.0,100.0,172.81750000000162
Human-GEM,propionate,0.0,4.0,0.0,0.8,1.0,100.0,85.46750000000092
Human-GEM,propionate,0.7,4.0,0.7,0.8,1.0,100.0,96.14250000000104
Human-GEM,propionate,1.4,4.0,1.4,0.8,1.0,100.0,106.81750000000098
Human-GEM,propionate,2.8,4.0,2.8,0.8,1.0,100.0,128.16750000000087
Human-GEM,propionate,5.0,4.0,5.0,0.8,1.0,100.0,161.7175000000007
Human-GEM,butyrate,0.0,4.0,1.4,0.0,1.0,100.0,89.21750000000094
Human-GEM,butyrate,0.4,4.0,1.4,0.4,1.0,100.0,98.01750000000109
Human-GEM,butyrate,0.8,4.0,1.4,0.8,1.0,100.0,106.81750000000098
Human-GEM,butyrate,1.6,4.0,1.4,1.6,1.0,100.0,124.41750000000133
Human-GEM,butyrate,3.0,4.0,1.4,3.0,1.0,100.0,155.21750000000156
Human-GEM,glucose,0.1,4.0,1.4,0.8,0.1,100.0,78.46750000000085
Human-GEM,glucose,0.5,4.0,1.4,0.8,0.5,100.0,91.06750000000095
Human-GEM,glucose,1.0,4.0,1.4,0.8,1.0,100.0,106.81750000000098
Human-GEM,glucose,2.0,4.0,1.4,0.8,2.0,100.0,138.3175000000013
Human-GEM,glucose,5.0,4.0,1.4,0.8,5.0,100.0,232.81750000000198
Human-GEM,oxygen,10.0,4.0,1.4,0.8,1.0,10.0,49.247500000000024
Human-GEM,oxygen,50.0,4.0,1.4,0.8,1.0,50.0,106.81750000000065
Human-GEM,oxygen,100.0,4.0,1.4,0.8,1.0,100.0,106.81750000000092
Human-GEM,oxygen,200.0,4.0,1.4,0.8,1.0,200.0,106.81750000000092
Human-GEM,ac_but_ratio,0.1,0.48,1.4,4.32,1.0,100.0,155.21750000000148
Human-GEM,ac_but_ratio,0.2,0.96,1.4,3.84,1.0,100.0,148.61750000000126
Human-GEM,ac_but_ratio,0.3,1.44,1.4,3.36,1.0,100.0,142.0175000000014
Human-GEM,ac_but_ratio,0.4,1.92,1.4,2.88,1.0,100.0,135.41750000000164
Human-GEM,ac_but_ratio,0.5,2.4,1.4,2.4,1.0,100.0,128.81750000000125
Human-GEM,ac_but_ratio,0.6,2.88,1.4,1.92,1.0,100.0,122.21750000000105
Human-GEM,ac_but_ratio,0.7,3.36,1.4,1.44,1.0,100.0,115.617500000001
Human-GEM,ac_but_ratio,0.8,3.84,1.4,0.96,1.0,100.0,109.01750000000102
Human-GEM,ac_but_ratio,0.9,4.32,1.4,0.48,1.0,100.0,102.41750000000073
